2024/05/26 17:34:29 [error] 1432#1432: *764 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1429#1429: *777 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *774 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *776 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *775 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:34 [error] 1432#1432: *780 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1432#1432: *785 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *786 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *787 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1428#1428: *788 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:44 [error] 1429#1429: *792 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1428#1428: *801 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1432#1432: *800 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1429#1429: *799 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1428#1428: *798 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:34:59 [error] 1428#1428: *802 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1429#1429: *815 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1428#1428: *812 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1429#1429: *813 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1430#1430: *816 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1428#1428: *814 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1428#1428: *824 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:6582c62583ef22717db8d306b1d6a0c288089ff607d9c0d2d81c4f8973cbfee3 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:6582c62583ef22717db8d306b1d6a0c288089ff607d9c0d2d81c4f8973cbfee3", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1432#1432: *823 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:c6cf28de8a067787ee0d08f8b01d7f1566a508b56f6e549687b41dfd375f12c7 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:c6cf28de8a067787ee0d08f8b01d7f1566a508b56f6e549687b41dfd375f12c7", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1432#1432: *826 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:a99509a323905a80628005e4f3bc26ac15ebaf3ffdb08a9646a7f2d110ab38f9 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:a99509a323905a80628005e4f3bc26ac15ebaf3ffdb08a9646a7f2d110ab38f9", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1430#1430: *825 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:bf2c3e352f3d2eed4eda4feeed44a1022a881058df20ac0584db70c138b041e2 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:bf2c3e352f3d2eed4eda4feeed44a1022a881058df20ac0584db70c138b041e2", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1430#1430: *822 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "HEAD /v2/avm-front/blobs/sha256:891494355808bdd3db5552f0d3723fd0fa826675f774853796fafa221d850d42 HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/sha256:891494355808bdd3db5552f0d3723fd0fa826675f774853796fafa221d850d42", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1429#1429: *833 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1428#1428: *832 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1428#1428: *836 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1430#1430: *834 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:19 [error] 1430#1430: *835 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "POST /v2/avm-front/blobs/uploads/ HTTP/1.1", upstream: "http://127.0.0.1:5000/v2/avm-front/blobs/uploads/", host: "docker-registry.home.gbweb.fr"
2024/05/26 17:35:36 [error] 1428#1428: *845 connect() failed (111: Connection refused) while connecting to upstream, client: 10.22.22.102, server: docker-registry.home.gbweb.fr, request: "GET / HTTP/2.0", upstream: "http://127.0.0.1:5000/", host: "docker-registry.home.gbweb.fr"
